country,year,inflation,total_spend
AUS,1971,5.18608376438183,439.73
AUS,1972,6.18861390811001,450.44
AUS,1973,8.9839737566421,507.85
AUS,1974,16.3775623167018,622.17
AUS,1975,16.4897877086073,616.34
AUS,1976,14.0198687822264,622.22
AUS,1977,11.4186605819591,644.42
AUS,1978,8.23618363096672,691.01
AUS,1979,8.63443123752833,686.61
AUS,1980,10.0165696784018,806.22
AUS,1981,9.52478964604649,936.14
AUS,1982,11.7092329249508,990.7
AUS,1983,10.1575581386061,1118.01
AUS,1984,7.86300441854821,1185.36
AUS,1985,4.68070643690324,1291.23
AUS,1986,6.54751099766295,1386.31
AUS,1987,7.03173832337612,1478.5
AUS,1988,7.1742599600064,1669.27
AUS,1989,9.23190922376165,1881.95
AUS,1990,6.09458983592408,2084.61
AUS,1991,3.02017557973888,2333.29
AUS,1992,1.47902574629622,2603.04
AUS,1993,0.867377619434805,2900.43
AUS,1994,1.01880233824261,3239.54
AUS,1995,2.28914316458206,3532.65
AUS,1996,2.71144222672184,3924.34
AUS,1997,1.27279080728206,4277.26
AUS,1998,1.13564190464284,4820.13
AUS,1999,0.475365976445929,5403.73
AUS,2000,2.5507652827131,6433.7
AUS,2001,4.63074057685395,7090.26
AUS,2002,2.84035444214652,7436.12
AUS,2003,2.98554508941196,8015.26
AUS,2004,3.23229936195307,8794.36
AUS,2005,3.82548066795754,8819.8
AUS,2006,5.11533977799769,9360.71
AUS,2007,4.98605173231132,10130.72
AUS,2008,4.56978290693471,10971.66
AUS,2009,4.94917908012782,11517.6
AUS,2010,1.15377249328591,12374.33
AUS,2011,6.20197668065047,13029.19
AUS,2012,1.8056989221342,13412.59
AUS,2013,-0.163600551424906,13562.38
AUS,2014,1.40539601622476,13368.35
AUS,2015,-0.623858470510584,14152.25
AUS,2016,-0.663157619625991,15737.13
AUS,2017,3.65318441813451,15318.92
AUS,2018,1.86901478899458,15458.65
AUS,2019,3.46820261012924,15650.06
AUS,2020,1.88550119010648,17463.75
AUT,1990,2.99968065945104,1152.93
AUT,1991,3.64187152255646,1229.89
AUT,1992,3.47909296982908,1323.41
AUT,1993,2.75708451946717,1425.32
AUT,1994,2.52494309684019,1513.95
AUT,1995,1.81391843002299,1582.19
AUT,1996,0.960435623684603,1691.82
AUT,1997,1.26254419605465,2023.79
AUT,1998,0.482061857743417,2293.81
AUT,1999,0.219322650024296,2577.44
AUT,2000,1.36731401336769,2860.63
AUT,2001,1.93728367228805,2965.53
AUT,2002,1.10421508890414,3296.71
AUT,2003,1.26700272386712,3533.97
AUT,2004,1.72796220966988,3709.53
AUT,2005,2.53196772218678,3786.11
AUT,2006,2.04461988969157,3988.77
AUT,2007,2.2592709576015,4246.43
AUT,2008,1.93379073721434,4481.35
AUT,2009,1.73939285831332,4221.15
AUT,2010,0.891338457893553,4352.72
AUT,2011,1.81993753082695,4481.7
AUT,2012,2.09166482584344,4665.81
AUT,2013,1.70872300692841,4804.85
AUT,2014,2.00674390270015,5042.19
AUT,2015,2.29263492397251,5251.72
AUT,2016,1.81475079739224,5431.18
AUT,2017,0.975317709275998,5651.36
AUT,2018,1.81048023343624,5830.5
AUT,2019,1.47368476959242,5912.71
AUT,2020,2.59313274910787,6342.79
AUT,2021,1.92612910926519,6849.1
BEL,1970,4.54619573897246,406.02
BEL,1971,5.35821760989761,451.02
BEL,1972,6.31781973169122,499.87
BEL,1973,6.80698646513234,602.3
BEL,1974,12.1683398872165,673.59
BEL,1975,12.8897229515416,719.3
BEL,1976,7.57526346822965,713.1
BEL,1977,7.47805988572962,802.64
BEL,1978,4.42325022360627,879.92
BEL,1979,4.50524106489813,963.89
BEL,1980,4.12659694695165,1014.78
BEL,1981,5.13919687490983,1057.98
BEL,1982,7.57041621451407,1125.87
BEL,1983,5.6128505058284,1208.23
BEL,1984,5.43871721514574,1200.04
BEL,1985,4.62774245535957,1338.77
BEL,1986,2.79678045159528,1463.66
BEL,1987,1.68411135983652,1589.8
BEL,1988,2.16898958166314,1814.14
BEL,1989,4.79745782559817,1941.55
BEL,1990,2.81240338876658,2013.99
BEL,1991,2.87662434854509,2217.35
BEL,1992,3.42452490217883,2495.32
BEL,1993,3.99323167580741,2786.19
BEL,1994,2.09430476426498,2864.11
BEL,1995,1.22076972852592,3060.02
BEL,1996,0.476638129958133,3074.17
BEL,1997,0.75761089644017,3232.96
BEL,2003,1.85011616570733,5239.94
BEL,2004,1.91498852327605,5502.6
